split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
holdout,primary,EMU00070245,RF off,1800.0,24.3882,6,0.40625,-0.0005044401889133232,0.03134772969665857,-0.10948496114319929,0.9966168458529308,1.8117605153267653,159348.0,14
holdout,primary,EMU00070245,RF off,1800.0,24.3882,7,0.46875,0.04787043195479375,0.0511688390243903,-0.2275834379566509,0.9683336586073963,1.8370841050654954,96601.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,8,0.53125,0.0046345116408776504,0.08307868341272914,0.27302809584126625,1.0978526656959438,2.133990016593646,85040.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,9,0.59375,-0.05254642423660853,0.10578630615024263,-0.0978019824787283,1.0869184754368653,2.2165411098018155,132528.0,15
holdout,primary,EMU00070245,RF off,1800.0,24.3882,10,0.65625,-0.06197003135449375,0.08966780382871138,-0.15953236079043692,0.9881856760563277,1.7556628865809596,131040.0,11
holdout,primary,EMU00070245,RF off,1800.0,24.3882,11,0.71875,-0.05510139555864605,0.07274638986048003,-0.009253975536289878,1.0262015811257525,1.9652414851302222,91325.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,12,0.78125,-0.04435555022440335,0.04479425520007045,-0.21617357749439015,1.202095987744922,2.470721266596698,87861.0,11
holdout,primary,EMU00070245,RF off,1800.0,24.3882,13,0.84375,-0.09898386682661431,0.08615807329781335,0.13940024867738537,1.07292248760281,2.0178012592062045,145349.0,14
holdout,primary,EMU00070245,RF off,1800.0,24.3882,14,0.90625,-0.034755475797616855,-0.016152492482472677,-0.5917120368891708,0.8746631328885285,1.5912293508559645,120743.0,10
holdout,primary,EMU00070245,RF off,1800.0,24.3882,15,0.96875,-0.07293201234701543,-0.008992268158894716,0.13124261577706228,1.0811212648586657,2.093553954199536,86305.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,16,1.03125,-0.03418252357798462,-0.06490957197586109,-0.1569909995363379,1.0513849559202286,2.160441705518548,124173.0,14
holdout,primary,EMU00070245,RF off,1800.0,24.3882,17,1.09375,-0.052295076457780705,-0.04655170633670966,0.38273976964954515,1.0012627739522202,1.7809678257546444,143776.0,12
holdout,primary,EMU00070245,RF off,1800.0,24.3882,18,1.15625,0.01164453046949636,-0.05913703058194343,-1.1423832661972244,1.0087777216887788,1.9226100947877853,91838.0,9
holdout,primary,EMU00070245,RF off,1800.0,24.3882,19,1.21875,-0.06479710987306252,-0.02579959025891669,0.06416666030853163,1.1599855914869888,2.333646126145964,85058.0,10
holdout,primary,EMU00070245,RF off,1800.0,24.3882,20,1.28125,-0.02927096217800244,-0.044405982777027335,0.05358139134665615,1.080683671958813,2.060584919430963,151590.0,15
holdout,primary,EMU00070245,RF off,1800.0,24.3882,21,1.34375,-0.04364412880895406,-0.03636226337807399,-0.06456562964931246,0.8599625208332036,1.5636536294495902,123005.0,10
holdout,primary,EMU00070245,RF off,1800.0,24.3882,22,1.40625,-0.08504189476793525,-0.05930843815631148,-0.10229994559397025,1.069062379849921,2.0654934130257745,87254.0,9
