path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q23:d53:t640:r2:irrational_to_rational,irrational_to_rational,ordered,2616.0,1.0,3032.6921789100834,416.6921789100834,416.6921789100834,145.38435782016631,1.6741008081948379,-280.69217891008316,1963.0,1069.6921789100834
q23:d53:t640:r3:irrational_to_rational,irrational_to_rational,ordered,2640.0,1.0,3061.8066277013704,421.8066277013704,421.8066277013704,159.1100562444267,1.6742850333690433,-229.8066277013702,1988.0,1073.8066277013704
q23:d53:t640:r4:irrational_to_rational,irrational_to_rational,ordered,2664.0,1.0,3083.5836296745215,419.5836296745215,419.5836296745215,165.10168571454142,1.6742850333690433,-251.5836296745215,2012.0,1071.5836296745215
q23:d53:t640:r5:irrational_to_rational,irrational_to_rational,ordered,2688.0,1.0,3097.722915309286,409.7229153092858,409.7229153092858,142.04787941003588,1.6756396865528382,-281.7229153092858,2036.0,1061.7229153092858
q13:d43:t256:r0:rational_to_irrational,rational_to_irrational,abrupt,1408.0,1.0,1300.6146098422505,-107.3853901577495,107.3853901577495,170.47812876186345,1.9789635526615892,59.38539015774961,2060.0,759.3853901577495
q13:d43:t256:r1:rational_to_irrational,rational_to_irrational,abrupt,1432.0,1.0,1325.7815460832894,-106.21845391671059,106.21845391671059,177.23791833519772,1.9789635526615892,114.2184539167107,2084.0,758.2184539167106
q13:d43:t256:r2:rational_to_irrational,rational_to_irrational,abrupt,1456.0,1.0,1348.595232297865,-107.4047677021349,107.4047677021349,172.6289269437841,1.9789635526615892,91.40476770213479,2108.0,759.4047677021349
q13:d43:t256:r3:rational_to_irrational,rational_to_irrational,abrupt,1480.0,1.0,1372.7105021682569,-107.28949783174312,107.28949783174312,173.84695099497617,1.9789635526615892,99.28949783174323,2133.0,760.2894978317431
q13:d43:t256:r4:rational_to_irrational,rational_to_irrational,abrupt,1505.0,1.0,1399.8902892810866,-105.10971071891345,105.10971071891345,171.52786561155472,1.9789635526615892,104.10971071891356,2157.0,757.1097107189134
q13:d43:t256:r5:rational_to_irrational,rational_to_irrational,abrupt,1529.0,1.0,1424.4415360409103,-104.55846395908975,104.55846395908975,174.67413769985365,1.9789635526615892,63.558463959089636,2181.0,756.5584639590897
q13:d43:t448:r0:rational_to_irrational,rational_to_irrational,abrupt,1553.0,1.0,1448.2753072159117,-104.72469278408835,104.72469278408835,172.57386118855698,1.9789635526615892,39.72469278408835,2205.0,756.7246927840883
q13:d43:t448:r1:rational_to_irrational,rational_to_irrational,abrupt,1577.0,1.0,1468.9718554489061,-108.02814455109387,108.02814455109387,173.51225625045413,1.9789635526615892,99.02814455109387,2229.0,760.0281445510939
q13:d43:t448:r2:rational_to_irrational,rational_to_irrational,abrupt,1601.0,1.0,1496.424330748918,-104.57566925108199,104.57566925108199,173.7489372886107,1.9789635526615892,103.57566925108199,2253.0,756.575669251082
q13:d43:t448:r3:rational_to_irrational,rational_to_irrational,abrupt,1625.0,1.0,1520.298814032718,-104.70118596728207,104.70118596728207,174.789669999466,1.9789635526615892,111.70118596728219,2277.0,756.7011859672821
q13:d43:t448:r4:rational_to_irrational,rational_to_irrational,abrupt,1650.0,1.0,1545.1624987422601,-104.83750125773986,104.83750125773986,181.72626842701948,1.9789635526615892,118.83750125773997,2302.0,756.8375012577399
q13:d43:t448:r5:rational_to_irrational,rational_to_irrational,abrupt,1674.0,1.0,1568.5441503206018,-105.45584967939817,105.45584967939817,175.503187992495,1.9789635526615892,47.45584967939817,2326.0,757.4558496793982
q13:d43:t640:r0:rational_to_irrational,rational_to_irrational,abrupt,1698.0,1.0,1593.319797565321,-104.6802024346789,104.6802024346789,173.68825823663883,1.9789635526615892,54.68020243467902,2350.0,756.6802024346789
