route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-150-52-6,development,time,2,6-8,6,0-6,Fx,0.9319964318949874,2.9785375608086355e-05
c2-0-150-52-6,development,time,3,6-8,6,0-6,Fx,0.9362827011256344,2.9785375608086355e-05
c2-0-150-52-6,development,time,4,6-8,6,0-10,Fx,0.9396099007839936,2.9785375608086355e-05
c2-0-150-52-6,development,time,5,6-8,6,0-10,Fx,0.9472657940986341,2.9785375608086355e-05
c2-0-150-52-6,development,time,6,6-8,6,0-10,Fx,0.9618562431621493,2.9785375608086355e-05
c2-0-216-8-0,development,exact,0,0-9,0,4-6,I,0.8970159336996916,0.0003135260436375187
c2-0-216-8-0,development,exact,1,0-9,0,4-6,I,0.8984182408653862,0.0003135260436375187
c2-0-216-8-0,development,exact,2,0-9,0,4-6,I,0.9118272747485103,0.0003135260436375187
c2-0-216-8-0,development,exact,3,0-9,0,4-11,I,0.9272269009038039,0.0003135260436375187
c2-0-216-8-0,development,exact,4,0-9,0,4-11,I,0.919408022658879,0.0003135260436375187
c2-0-216-8-0,development,exact,5,0-9,0,4-11,I,0.9370085555406008,0.0003135260436375187
c2-0-216-8-0,development,exact,6,0-9,0,3-4,I,0.9431905927814441,0.0003135260436375187
c2-0-216-8-0,development,seed,0,0-9,0,9-10,Fz,0.883084207970356,0.0003135260436375187
c2-0-216-8-0,development,seed,1,0-9,0,9-10,Fz,0.8672345298978236,0.0003135260436375187
c2-0-216-8-0,development,seed,2,0-9,0,9-10,Fz,0.8803118751573291,0.0003135260436375187
c2-0-216-8-0,development,seed,3,0-9,0,9-10,Fz,0.8980891589444246,0.0003135260436375187
c2-0-216-8-0,development,seed,4,0-9,0,9-10,Fz,0.9198611679922316,0.0003135260436375187
c2-0-216-8-0,development,seed,5,0-9,0,10-11,Fz,0.9289770975860134,0.0003135260436375187
c2-0-216-8-0,development,seed,6,0-9,0,10-11,Fz,0.9244133152640246,0.0003135260436375187
c2-0-216-8-0,development,time,0,0-9,0,4-9,I,0.93253454118987,0.0003135260436375187
c2-0-216-8-0,development,time,1,0-9,0,4-9,I,0.9184150739930496,0.0003135260436375187
c2-0-216-8-0,development,time,2,0-9,0,4-9,I,0.8800732030526961,0.0003135260436375187
c2-0-216-8-0,development,time,3,0-9,0,4-9,I,0.8526228957061855,0.0003135260436375187
c2-0-216-8-0,development,time,4,0-9,0,4-9,I,0.8513532464616002,0.0003135260436375187
c2-0-216-8-0,development,time,5,0-9,0,4-9,I,0.8377539804209578,0.0003135260436375187
c2-0-216-8-0,development,time,6,0-9,0,4-9,I,0.8449252634008865,0.0003135260436375187
c2-0-234-28-10,development,exact,0,2-10,10,2-3,Fx,0.9247754893826252,1.2076518747777126e-05
c2-0-234-28-10,development,exact,1,2-10,10,2-3,Fx,0.9369753056415133,1.2076518747777126e-05
c2-0-234-28-10,development,exact,2,2-10,10,2-7,Fx,0.9577976862044859,1.2076518747777126e-05
c2-0-234-28-10,development,exact,3,2-10,10,2-7,Fx,0.9478448450442489,1.2076518747777126e-05
c2-0-234-28-10,development,exact,4,2-10,10,2-7,Fx,0.9276338536027438,1.2076518747777126e-05
c2-0-234-28-10,development,exact,5,2-10,10,2-7,Fx,0.9285080404305084,1.2076518747777126e-05
c2-0-234-28-10,development,exact,6,2-10,10,2-7,Fx,0.9399517433183343,1.2076518747777126e-05
c2-0-234-28-10,development,seed,0,2-10,10,0-5,Fx,0.9208639685364135,1.2076518747777126e-05
c2-0-234-28-10,development,seed,1,2-10,10,0-5,Fx,0.9400695146542194,1.2076518747777126e-05
c2-0-234-28-10,development,seed,2,2-10,10,0-5,Fx,0.9213423606852534,1.2076518747777126e-05
c2-0-234-28-10,development,seed,3,2-10,10,0-5,Fx,0.9490788840636828,1.2076518747777126e-05
c2-0-234-28-10,development,seed,4,2-10,10,0-1,Fx,0.9332801590238684,1.2076518747777126e-05
