time_us,prompt_rate,delayed_rate,cumulative_ara
2.750500000000000167e+00,2.023917745557085127e-05,4.474226411644936091e-02,1.551857368412092208e+00
2.755500000000000060e+00,2.017945071385932924e-05,4.463012254752209834e-02,1.553257922722731443e+00
2.760499999999999954e+00,2.012156069083166702e-05,4.451821834416878204e-02,1.554654965550784640e+00
2.765499999999999847e+00,2.006456947429124650e-05,4.440653394700210671e-02,1.556048504147409028e+00
2.770500000000000185e+00,2.000771764245292983e-05,4.429512160926915576e-02,1.557438546473356222e+00
2.775500000000000078e+00,1.995206023980606474e-05,4.418396643512980532e-02,1.558825100686401566e+00
2.780499999999999972e+00,1.989699885873041189e-05,4.407306617753755512e-02,1.560208174765180367e+00
2.785499999999999865e+00,1.984299409066296078e-05,4.396243165343733522e-02,1.561587776952370943e+00
2.790500000000000203e+00,1.978954008120694289e-05,4.385204979981513485e-02,1.562963915654259850e+00
2.795500000000000096e+00,1.973764017179481745e-05,4.374190775509294998e-02,1.564336598333383233e+00
2.800499999999999989e+00,1.968656583629809531e-05,4.363202571186638318e-02,1.565705832862236635e+00
2.805499999999999883e+00,1.963704845248073121e-05,4.352238508678454854e-02,1.567071627019530622e+00
2.810500000000000220e+00,1.958903364413402989e-05,4.341295260323338456e-02,1.568433987878339098e+00
2.815500000000000114e+00,1.954194459952407256e-05,4.330377848686504938e-02,1.569792923008636043e+00
2.820500000000000007e+00,1.949680368525582848e-05,4.319487019261443461e-02,1.571148440497512677e+00
2.825499999999999901e+00,1.945239305332629190e-05,4.308617844405894515e-02,1.572500548110018270e+00
2.830499999999999794e+00,1.940988989596566643e-05,4.297773869995240303e-02,1.573849252836753809e+00
2.835500000000000131e+00,1.936712738101298729e-05,4.286953529345591263e-02,1.575194563194299402e+00
2.840500000000000025e+00,1.932585418397675714e-05,4.276157671342310784e-02,1.576536485695090306e+00
2.845499999999999918e+00,1.928582108385447117e-05,4.265384377603306798e-02,1.577875028699811999e+00
2.850499999999999812e+00,1.924777309750915733e-05,4.254634324327308259e-02,1.579210198588917979e+00
2.855500000000000149e+00,1.921074389419887224e-05,4.243906723474464432e-02,1.580542003323758937e+00
2.860500000000000043e+00,1.917547152702720690e-05,4.233204894796761819e-02,1.581870449908120646e+00
2.865499999999999936e+00,1.914101556771628370e-05,4.222525218762623184e-02,1.583195546209605231e+00
2.870499999999999829e+00,1.910878609237322290e-05,4.211870473330107251e-02,1.584517299337305341e+00
2.875500000000000167e+00,1.907789532626984956e-05,4.201242540804658171e-02,1.585835718231648039e+00
2.880500000000000060e+00,1.904834315580653648e-05,4.190640516048392550e-02,1.587150810369903908e+00
2.885499999999999954e+00,1.901957715734774431e-05,4.180063357435941096e-02,1.588462584274499712e+00
2.890499999999999847e+00,1.899207442326504667e-05,4.169511973172800035e-02,1.589771047728663955e+00
2.895500000000000185e+00,1.896510897291101258e-05,4.158984672882668626e-02,1.591076208205742359e+00
2.900500000000000078e+00,1.893908158899434911e-05,4.148479741597060205e-02,1.592378073584215459e+00
2.905499999999999972e+00,1.891391575990533546e-05,4.137999572242120894e-02,1.593676650838979914e+00
2.910499999999999865e+00,1.888909732987946506e-05,4.127540913328567318e-02,1.594971947143311475e+00
2.915500000000000203e+00,1.886570297361288016e-05,4.117108017019322636e-02,1.596263970540696020e+00
2.920500000000000096e+00,1.884293700177722759e-05,4.106703712560771241e-02,1.597552729106314962e+00
2.925499999999999989e+00,1.882138433636212506e-05,4.096323171008450781e-02,1.598838231293606915e+00
2.930499999999999883e+00,1.879974928201708171e-05,4.085970935202928866e-02,1.600120485336891996e+00
2.935500000000000220e+00,1.877950802620471647e-05,4.075645881139502297e-02,1.601399499799976311e+00
2.940500000000000114e+00,1.875987071306640369e-05,4.065350486724546991e-02,1.602675284041462422e+00
2.945500000000000007e+00,1.874056526609627353e-05,4.055080548790113149e-02,1.603947846378218856e+00
2.950499999999999901e+00,1.872184904514525851e-05,4.044839291763093619e-02,1.605217195226792182e+00
2.955499999999999794e+00,1.870344366241016187e-05,4.034622707191558993e-02,1.606483339172351643e+00
2.960500000000000131e+00,1.868465340023421685e-05,4.024431335347843086e-02,1.607746285619851889e+00
2.965500000000000025e+00,1.866683460648987992e-05,4.014266872727673824e-02,1.609006042906736322e+00
2.970499999999999918e+00,1.864907914614015287e-05,4.004131288595737942e-02,1.610262619887379509e+00
2.975499999999999812e+00,1.863159602191423179e-05,3.994022676526351456e-02,1.611516025162205601e+00
2.980500000000000149e+00,1.861471943177868556e-05,3.983943871440387419e-02,1.612766268135628289e+00
2.985500000000000043e+00,1.859803893851395679e-05,3.973895004941022796e-02,1.614013357975770724e+00
2.990499999999999936e+00,1.858106408761944507e-05,3.963875106419829236e-02,1.615257303750636142e+00
2.995499999999999829e+00,1.856475316987810589e-05,3.953882952688119595e-02,1.616498114275623399e+00
3.000500000000000167e+00,1.854908406882440977e-05,3.943923331550883843e-02,1.617735799338928304e+00
3.005500000000000060e+00,1.853390735263870276e-05,3.933986401956912626e-02,1.618970367564171564e+00
3.010499999999999954e+00,1.851830667975735205e-05,3.924086500139412764e-02,1.620201828257654464e+00
3.015499999999999847e+00,1.850337483156510779e-05,3.914208470800908946e-02,1.621430190289860240e+00
3.020500000000000185e+00,1.848801197527763515e-05,3.904362868384671920e-02,1.622655462443396868e+00
3.025500000000000078e+00,1.847167346556527706e-05,3.894544695159458947e-02,1.623877654438845131e+00
3.030499999999999972e+00,1.845548248352544147e-05,3.884756440230705682e-02,1.625096774944991385e+00
3.035499999999999865e+00,1.843944678054375183e-05,3.874997364633518682e-02,1.626312833465886953e+00
3.040500000000000203e+00,1.842279896406643288e-05,3.865268365881194268e-02,1.627525838552181581e+00
3.045500000000000096e+00,1.840552064408312795e-05,3.855566339184000185e-02,1.628735799798413098e+00
3.050499999999999989e+00,1.838742101806557658e-05,3.845890693636890012e-02,1.629942725173195273e+00
3.055499999999999883e+00,1.836880881000920278e-05,3.836243467682590169e-02,1.631146623423784581e+00
3.060500000000000220e+00,1.834916429481824217e-05,3.826624581010912296e-02,1.632347503160979985e+00
3.065500000000000114e+00,1.832851525775289848e-05,3.817029738514879367e-02,1.633545373115736332e+00
3.070500000000000007e+00,1.830727632551447471e-05,3.807461577886653292e-02,1.634740240319738858e+00
3.075499999999999901e+00,1.828533060165242333e-05,3.797914119347083756e-02,1.635932113011987932e+00
