time_to_horizon_M,series,ara_coordinate
-2580.496267868691,waveform Space/Connection,0.5580800908832718
-2580.496267868691,horizon radial closure,0.6160181766543595
-2580.496267868691,waveform Time/Traversal,0.536779324055666
-2580.496267868691,horizon angular traversal,0.5387673956262425
-2572.496267868691,waveform Space/Connection,0.6111900028401023
-2572.496267868691,horizon radial closure,0.6049417779040045
-2572.496267868691,waveform Time/Traversal,0.5424595285430276
-2572.496267868691,horizon angular traversal,0.5433115592161318
-2564.496267868691,waveform Space/Connection,0.5754047145697245
-2564.496267868691,horizon radial closure,0.5941493893780176
-2564.496267868691,waveform Time/Traversal,0.5492757739278614
-2564.496267868691,horizon angular traversal,0.547855722806021
-2556.996267868691,waveform Space/Connection,0.4671968190854871
-2556.996267868691,horizon radial closure,0.5836410110763988
-2556.996267868691,waveform Time/Traversal,0.5521158761715422
-2556.996267868691,horizon angular traversal,0.5521158761715422
-2548.996267868691,waveform Space/Connection,0.3734734450440216
-2548.996267868691,horizon radial closure,0.5725646123260437
-2548.996267868691,waveform Time/Traversal,0.5566600397614314
-2548.996267868691,horizon angular traversal,0.5566600397614314
-2540.996267868691,waveform Space/Connection,0.3385401874467481
-2540.996267868691,horizon radial closure,0.5614882135756887
-2540.996267868691,waveform Time/Traversal,0.5612042033513206
-2540.996267868691,horizon angular traversal,0.5612042033513206
-2533.496267868691,waveform Space/Connection,0.38483385401874465
-2533.496267868691,horizon radial closure,0.5509798352740699
-2533.496267868691,waveform Time/Traversal,0.5654643567168418
-2533.496267868691,horizon angular traversal,0.5654643567168418
-2525.496267868691,waveform Space/Connection,0.3416642999147969
-2525.496267868691,horizon radial closure,0.5396194262993468
-2525.496267868691,waveform Time/Traversal,0.570008520306731
-2525.496267868691,horizon angular traversal,0.570008520306731
-2517.496267868691,waveform Space/Connection,0.2797500710025561
-2517.496267868691,horizon radial closure,0.5288270377733598
-2517.496267868691,waveform Time/Traversal,0.5745526838966203
-2517.496267868691,horizon angular traversal,0.5745526838966203
-2509.996267868691,waveform Space/Connection,0.22664015904572565
-2509.996267868691,horizon radial closure,0.5183186594717409
-2509.996267868691,waveform Time/Traversal,0.5788128372621414
-2509.996267868691,horizon angular traversal,0.5788128372621414
-2501.996267868691,waveform Space/Connection,0.22152797500710025
-2501.996267868691,horizon radial closure,0.507242260721386
-2501.996267868691,waveform Time/Traversal,0.5833570008520307
-2501.996267868691,horizon angular traversal,0.5833570008520307
-2493.996267868691,waveform Space/Connection,0.1846066458392502
-2493.996267868691,horizon radial closure,0.4768531667140017
-2493.996267868691,waveform Time/Traversal,0.5879011644419199
-2493.996267868691,horizon angular traversal,0.5879011644419199
-2486.496267868691,waveform Space/Connection,0.1496733882419767
-2486.496267868691,horizon radial closure,0.4532803180914513
-2486.496267868691,waveform Time/Traversal,0.5921613178074411
-2486.496267868691,horizon angular traversal,0.5921613178074411
-2478.496267868691,waveform Space/Connection,0.16046577676796364
-2478.496267868691,horizon radial closure,0.43368361261005395
-2478.496267868691,waveform Time/Traversal,0.5967054813973303
-2478.496267868691,horizon angular traversal,0.5967054813973303
-2470.496267868691,waveform Space/Connection,0.16131780744106788
-2470.496267868691,horizon radial closure,0.41749502982107356
-2470.496267868691,waveform Time/Traversal,0.6012496449872196
-2470.496267868691,horizon angular traversal,0.6012496449872196
-2462.996267868691,waveform Space/Connection,0.16444191990911672
-2462.996267868691,horizon radial closure,0.404430559500142
-2462.996267868691,waveform Time/Traversal,0.6055097983527407
-2462.996267868691,horizon angular traversal,0.6055097983527407
-2454.996267868691,waveform Space/Connection,0.16756603237716558
-2454.996267868691,horizon radial closure,0.39307015052541894
-2454.996267868691,waveform Time/Traversal,0.61005396194263
-2454.996267868691,horizon angular traversal,0.61005396194263
-2446.996267868691,waveform Space/Connection,0.18943481965350753
-2446.996267868691,horizon radial closure,0.3885259869355297
-2446.996267868691,waveform Time/Traversal,0.6145981255325191
-2446.996267868691,horizon angular traversal,0.6145981255325191
-2438.996267868691,waveform Space/Connection,0.20420335132064754
-2438.996267868691,horizon radial closure,0.3993183754615166
-2438.996267868691,waveform Time/Traversal,0.6191422891224084
-2438.996267868691,horizon angular traversal,0.6191422891224084
-2431.496267868691,waveform Space/Connection,0.21272365805168986
-2431.496267868691,horizon radial closure,0.4120988355580801
