model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,8,5761,oscillator 2,0.7439024390243902,0.5820378910890969,0.34506550315439777,0.03479965739011766,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,9,5761,oscillator 2,0.7474326059050064,0.5794921100961613,0.35718287991823794,0.05628832479172247,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,10,5761,oscillator 2,0.7589858793324775,0.5602866150080074,0.3591690585880472,0.03631284820437365,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,11,5761,oscillator 2,0.6919127086007703,0.5554963510645856,0.35974603372127484,0.035943220836174294,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,12,5761,oscillator 2,0.7227214377406932,0.5877939346129359,0.34132015170079,0.0318140965568154,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,13,5761,oscillator 2,0.7037869062901155,0.5756386712797498,0.34690319371057865,0.0581724638127021,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,14,5761,oscillator 2,0.7082798459563543,0.5533432951584991,0.3591835105756389,0.02552969087572765,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_child_no_memory,15,5761,oscillator 2,0.7236842105263158,0.548068844843097,0.3707698444864875,0.03999784510515265,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,wrong_fixed_child,0,5761,oscillator 2,0.5686777920410783,0.1771311876055202,0.2709823655132188,0.7690881609971678,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,18,wrong_fixed_child,1,5761,oscillator 2,0.5824775353016688,0.11826881630121956,0.262896210156338,0.8674658002636838,nan,-1
