horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
8,0.128,EMU00069986,68.0,M3 + environment,0.0568396517684927,0.07970309459527553,0.2868576551874321
8,0.128,EMU00069992,104.0,M3 + environment,0.061523465639633124,0.08009650574220042,0.2318832754370922
8,0.128,EMU00069998,140.0,M3 + environment,0.05531453483227376,0.07931102516639704,0.3025618479117863
8,0.128,EMU00070004,176.0,M3 + environment,0.05556357553855774,0.07980024169255341,0.3037167011018881
8,0.128,EMU00070010,212.0,M3 + environment,0.057060491812636165,0.07895865323146777,0.27733706848617345
8,0.128,EMU00070016,248.0,M3 + environment,0.055915397001908375,0.07929939419944425,0.29488241913580415
8,0.128,EMU00070022,284.0,M3 + environment,0.058109585744880336,0.0796321297845142,0.27027462530355784
8,0.128,EMU00070028,320.0,M3 + environment,0.053026708155032895,0.07925948417371846,0.33097333766630865
8,0.128,EMU00070034,356.0,M3 + environment,0.05360381166189326,0.08092037507213123,0.3375733662367283
8,0.128,EMU00070040,392.0,M3 + environment,0.05697083780539161,0.07899485207623992,0.2788031585854782
8,0.128,EMU00070046,428.0,M3 + environment,0.05137252996494123,0.07986521792491474,0.356759659589997
8,0.128,EMU00070052,464.0,M3 + environment,0.057467751309228585,0.07979965101792169,0.2798495911176069
8,0.128,EMU00070058,500.0,M3 + environment,0.05438760244911081,0.07921645421132725,0.31343048624696124
8,0.128,EMU00069986,68.0,M4 full lock,0.05692517348520031,0.07970309459527553,0.28578465147105336
8,0.128,EMU00069992,104.0,M4 full lock,0.061582751443191114,0.08009650574220042,0.23114309578744796
8,0.128,EMU00069998,140.0,M4 full lock,0.05530650673867207,0.07931102516639704,0.3026630708323682
8,0.128,EMU00070004,176.0,M4 full lock,0.055577486417969044,0.07980024169255341,0.3035423798327258
8,0.128,EMU00070010,212.0,M4 full lock,0.05708582590145306,0.07895865323146777,0.27701621589079517
8,0.128,EMU00070016,248.0,M4 full lock,0.055940779205038225,0.07929939419944425,0.29456233846701596
8,0.128,EMU00070022,284.0,M4 full lock,0.05812204619061474,0.0796321297845142,0.2701181502002531
8,0.128,EMU00070028,320.0,M4 full lock,0.053029551584797795,0.07925948417371846,0.3309374627196755
8,0.128,EMU00070034,356.0,M4 full lock,0.05362358907381264,0.08092037507213123,0.3373289604007228
8,0.128,EMU00070040,392.0,M4 full lock,0.05695211864060414,0.07899485207623992,0.27904012548009816
8,0.128,EMU00070046,428.0,M4 full lock,0.0513513501294464,0.07986521792491474,0.35702485432739495
8,0.128,EMU00070052,464.0,M4 full lock,0.05744196980707733,0.07979965101792169,0.28017266899855475
8,0.128,EMU00070058,500.0,M4 full lock,0.054388698961960365,0.07921645421132725,0.3134166442634937
