x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.8099999999999999,0.40499999999999997,0.595,0.2696195652173912,0.32538043478260875,0.09500000000000003,0.9062842528315672,1.093715747168433,0.6032608695652173
0.815,0.4075,0.5925,0.2687363138686131,0.32376368613138695,0.09250000000000003,0.9071267978687361,1.092873202131264,0.6012773722627737
0.82,0.41,0.5900000000000001,0.2678676470588235,0.3221323529411766,0.09000000000000002,0.9080259222332998,1.0919740777667002,0.599264705882353
0.825,0.4125,0.5875,0.26701388888888883,0.3204861111111112,0.08750000000000002,0.9089834515366428,1.0910165484633572,0.5972222222222223
0.83,0.415,0.585,0.26617537313432826,0.3188246268656717,0.08500000000000002,0.9100012756729172,1.0899987243270828,0.5951492537313431
0.835,0.4175,0.5825,0.2653524436090225,0.3171475563909775,0.08250000000000002,0.9110813514472875,1.0889186485527125,0.5930451127819548
0.84,0.42,0.5800000000000001,0.2645454545454545,0.3154545454545456,0.08000000000000002,0.9122257053291533,1.0877742946708469,0.5909090909090909
0.845,0.4225,0.5775,0.2637547709923663,0.3137452290076337,0.07750000000000001,0.9134364363371994,1.0865635636628006,0.5887404580152671
0.8499999999999999,0.42499999999999993,0.5750000000000001,0.2629807692307692,0.3120192307692309,0.07500000000000007,0.9147157190635449,1.0852842809364551,0.5865384615384615
0.8549999999999999,0.42749999999999994,0.5725,0.26222383720930226,0.31027616279069775,0.07250000000000006,0.916065806844724,1.083934193155276,0.5843023255813953
0.8599999999999999,0.42999999999999994,0.5700000000000001,0.26148437499999994,0.3085156250000001,0.07000000000000006,0.917489035087719,1.082510964912281,0.5820312500000001
0.8649999999999999,0.43249999999999994,0.5675000000000001,0.2607627952755905,0.30673720472440963,0.06750000000000006,0.9189878247597901,1.08101217524021,0.5797244094488191
0.8699999999999999,0.43499999999999994,0.5650000000000001,0.26005952380952374,0.3049404761904763,0.06500000000000006,0.9205646860514114,1.0794353139485886,0.5773809523809524
0.8749999999999999,0.43749999999999994,0.5625,0.2593749999999999,0.3031250000000001,0.06250000000000006,0.9222222222222219,1.0777777777777782,0.575
0.8799999999999999,0.43999999999999995,0.56,0.2587096774193548,0.30129032258064525,0.06000000000000005,0.9239631336405527,1.0760368663594473,0.5725806451612904
0.8849999999999999,0.44249999999999995,0.5575000000000001,0.25806402439024384,0.29943597560975627,0.05750000000000005,0.9257902220277804,1.0742097779722195,0.5701219512195123
0.8899999999999999,0.44499999999999995,0.555,0.25743852459016386,0.2975614754098362,0.05500000000000005,0.9277063949195093,1.0722936050804908,0.5676229508196722
0.8949999999999999,0.44749999999999995,0.5525,0.25683367768595033,0.29566632231404966,0.05250000000000005,0.9297146703563813,1.0702853296436188,0.565082644628099
0.8999999999999999,0.44999999999999996,0.55,0.2562499999999999,0.2937500000000001,0.050000000000000044,0.9318181818181814,1.0681818181818186,0.5624999999999999
